Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Afghanistan,AFG,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,136009994.506836,410359985.351563,1223290039.0625,1538229980.46875,2268530029.29688,2815100097.65625,2895830078.125,4540379882.8125,4645399902.34375,5766540039.0625,6235319824.21875,6745740234.375,6666770019.53125,5152540039.0625,4942970214.84375,4274229980.46875,4069409912.10938,3811739990.23438,3792489990.23438,4136990234.375,4208899902.34375,4690520019.53125,3893270019.53125,..,..
Africa Eastern and Southern,AFE,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,7995110001.56403,8510100046.15784,11407200153.3508,16522039883.6136,16249479990.9592,16411430004.1199,18452829945.5643,20486030153.2746,23679979837.4176,25143129997.2534,24977449817.6575,28533789930.3436,26226879871.3684,29207570093.1549,25900260070.8008,25497109967.7086,25069150086.4029,27881609782.219,27525489810.9436,30202910114.2884,..,..,..,..,..
Africa Western and Central,AFW,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,4049070066.45203,4705749979.97284,6247569955.82581,6514859987.25891,8213159975.05188,14364720142.3645,20366009918.2129,12652500106.8115,12531550003.0518,14215949983.5968,15345270011.9019,14186749874.115,15529890200.6149,14105610011.1008,14729140147.686,14652700120.9259,13834239950.1801,15917469878.6736,16573919943.3327,18431019996.6431,..,..,..,..,..
Albania,ALB,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,317850006.103516,268529998.779297,307359985.351563,349309997.558594,300940002.441406,315079986.572266,324040008.544922,265720001.220703,344910003.662109,330730010.986328,365070007.324219,379480010.986328,349160003.662109,269980010.986328,281170013.427734,335160003.662109,171039993.286133,168350006.103516,344519989.013672,27069999.6948242,309579986.572266,633419982.910156,315510009.765625,..,..
Algeria,DZA,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,199960006.713867,198860000.610352,186119995.117188,239240005.493164,316970001.220703,347380004.882813,240679992.675781,395010009.765625,324829986.572266,292170013.427734,201250000,193350006.103516,147320007.324219,203419998.168945,160619995.117188,71129997.253418,144539993.286133,174649993.896484,144610000.610352,172000000,209850006.103516,214449996.948242,214990005.493164,..,..
American Samoa,ASM,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,302209991.455078,282730010.986328,414029998.779297,493500000,1144569946.28906,414679992.675781,163520004.272461,219910003.662109,346589996.337891,218600006.103516,235169998.168945,192940002.441406,243610000.610352,285540008.544922,235389999.389648,380059997.558594,206509994.506836,223139999.389648,162639999.389648,20920000.0762939,111360000.610352,247160003.662109,97480003.3569336,..,..
Antigua and Barbuda,ATG,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,9880000.11444092,8579999.92370605,13510000.2288818,5630000.11444092,1899999.97615814,8060000.4196167,3279999.97138977,4989999.77111816,6070000.17166138,4260000.22888184,19659999.8474121,15420000.0762939,2089999.91416931,1590000.0333786,2549999.95231628,1490000.00953674,180000.007152557,10300000.1907349,17600000.3814697,27450000.7629395,25940000.5340576,6139999.8664856,..,..,..
Arab World,ARB,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,5082809939.8613,5475920011.28197,5307289940.83405,9084489860.53467,11674739841.4612,29295579914.093,17562190309.5245,19061669792.1753,22708910317.3614,14318619856.8642,12318010100.8415,13655589836.1206,15120080116.272,22498559654.2358,22269969970.7031,20726810295.105,27757370086.6699,30002789398.1934,33943020240.7837,30092379943.8477,32811099685.669,40139670440.6738,..,..,..
Argentina,ARG,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,74559997.5585938,157639999.389648,98989997.8637695,117720001.220703,97339996.3378906,93870002.746582,114209999.084473,90230003.3569336,125019996.643066,116029998.779297,130309997.558594,97050003.0517578,177759994.506836,34729999.5422363,48790000.9155273,-18870000.8392334,2619999.88555908,-1169999.95708466,73220001.2207031,8890000.34332275,101730003.356934,155259994.506836,384070007.324219,..,..
Armenia,ARM,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,215889999.389648,211470001.220703,295220001.220703,250399993.896484,256119995.117188,172619995.117188,215389999.389648,266109985.351563,227240005.493164,277100006.103516,320320007.324219,375989990.234375,270559997.558594,280359985.351563,267429992.675781,347480010.986328,326429992.675781,257540008.544922,141820007.324219,417299987.792969,126580001.831055,161949996.948242,300350006.103516,..,..
Aruba,ABW,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,11500000,-1700000.04768372,10489999.7711182,76220001.2207031,-11319999.6948242,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Azerbaijan,AZE,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,140610000.610352,230910003.662109,350809997.558594,302029998.779297,175830001.831055,210399993.896484,203850006.103516,161320007.324219,184449996.948242,178139999.389648,156479995.727539,287769989.013672,286790008.544922,-70830001.8310547,216740005.493164,69580001.8310547,79430000.3051758,123529998.779297,87419998.1689453,119089996.337891,122879997.253418,9760000.22888184,47169998.1689453,..,..
"Bahamas, The",BHS,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,5469999.79019165,7440000.05722046,4710000.03814697,3880000.11444092,4480000.01907349,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bahrain,BHR,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,60430000.3051758,70809997.5585938,61580001.8310547,131770004.272461,58220001.2207031,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
